it=0 best=226 cs=226 T=1.9900
it=10000 best=154 cs=183 T=1.9801
it=20000 best=148 cs=176 T=1.9701
it=30000 best=148 cs=174 T=1.9603
it=40000 best=148 cs=182 T=1.9505
it=50000 best=148 cs=185 T=1.9407
it=60000 best=148 cs=187 T=1.9310
it=70000 best=148 cs=185 T=1.9214
it=80000 best=148 cs=177 T=1.9118
it=90000 best=148 cs=186 T=1.9022
it=100000 best=148 cs=191 T=1.8927
it=110000 best=148 cs=185 T=1.8832
it=120000 best=148 cs=178 T=1.8738
it=130000 best=148 cs=183 T=1.8645
it=140000 best=148 cs=174 T=1.8551
it=150000 best=148 cs=190 T=1.8459
it=160000 best=148 cs=176 T=1.8366
it=170000 best=148 cs=186 T=1.8274
it=180000 best=148 cs=182 T=1.8183
it=190000 best=148 cs=181 T=1.8092
it=200000 best=146 cs=165 T=1.8002
it=210000 best=146 cs=176 T=1.7912
it=220000 best=146 cs=186 T=1.7822
it=230000 best=146 cs=171 T=1.7733
it=240000 best=146 cs=163 T=1.7644
it=250000 best=146 cs=177 T=1.7556
it=260000 best=146 cs=174 T=1.7468
it=270000 best=146 cs=171 T=1.7381
it=280000 best=146 cs=179 T=1.7294
it=290000 best=146 cs=174 T=1.7208
it=300000 best=146 cs=159 T=1.7122
it=310000 best=146 cs=172 T=1.7036
it=320000 best=146 cs=176 T=1.6951
it=330000 best=146 cs=172 T=1.6866
it=340000 best=146 cs=165 T=1.6782
it=350000 best=146 cs=174 T=1.6698
it=360000 best=146 cs=167 T=1.6614
it=370000 best=146 cs=170 T=1.6531
it=380000 best=144 cs=166 T=1.6449
it=390000 best=144 cs=189 T=1.6366
it=400000 best=144 cs=172 T=1.6285
it=410000 best=144 cs=168 T=1.6203
it=420000 best=144 cs=165 T=1.6122
it=430000 best=144 cs=178 T=1.6042
it=440000 best=144 cs=169 T=1.5961
it=450000 best=144 cs=195 T=1.5882
it=460000 best=144 cs=171 T=1.5802
it=470000 best=143 cs=185 T=1.5723
it=480000 best=143 cs=178 T=1.5644
it=490000 best=140 cs=149 T=1.5566
it=500000 best=140 cs=179 T=1.5488
it=510000 best=133 cs=171 T=1.5411
it=520000 best=133 cs=158 T=1.5334
it=530000 best=133 cs=172 T=1.5257
it=540000 best=133 cs=169 T=1.5181
it=550000 best=133 cs=173 T=1.5105
it=560000 best=133 cs=168 T=1.5030
it=570000 best=133 cs=178 T=1.4954
it=580000 best=133 cs=171 T=1.4880
it=590000 best=133 cs=162 T=1.4805
it=600000 best=133 cs=178 T=1.4731
it=610000 best=133 cs=158 T=1.4658
it=620000 best=133 cs=165 T=1.4584
it=630000 best=133 cs=167 T=1.4511
it=640000 best=133 cs=167 T=1.4439
it=650000 best=133 cs=157 T=1.4367
it=660000 best=133 cs=161 T=1.4295
it=670000 best=133 cs=169 T=1.4223
it=680000 best=133 cs=165 T=1.4152
it=690000 best=133 cs=165 T=1.4081
it=700000 best=133 cs=171 T=1.4011
it=710000 best=133 cs=158 T=1.3941
it=720000 best=133 cs=171 T=1.3871
it=730000 best=129 cs=168 T=1.3802
it=740000 best=129 cs=178 T=1.3733
it=750000 best=129 cs=163 T=1.3664
it=760000 best=129 cs=156 T=1.3596
it=770000 best=129 cs=165 T=1.3528
it=780000 best=129 cs=168 T=1.3460
it=790000 best=129 cs=152 T=1.3393
it=800000 best=129 cs=160 T=1.3326
